Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,autivora-magnetic-vent-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-magnetic-vent-diffuser/autivora-magnetic-vent-diffuser-2.jpg,2,Autivara Disc — Magnetic Vent Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-magnetic-vent-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-magnetic-vent-diffuser/autivora-magnetic-vent-diffuser-3.jpg,3,Autivara Disc — Magnetic Vent Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-magnetic-vent-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-magnetic-vent-diffuser/autivora-magnetic-vent-diffuser-4.jpg,4,Autivara Disc — Magnetic Vent Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Cabin — Rechargeable Car Diffuser,autivora-rechargeable-car-diffuser,<p>A rechargeable cabin diffuser with adjustable output — set it and let the scent ride with you.</p><ul><li>USB-C rechargeable</li><li>Adjustable intensity</li><li>Waterless nebulizing core</li><li>Gift-boxed</li></ul>,Autivara,,Car Diffuser,"car, rechargeable, usb-c, waterless, car-diffusers",TRUE,Active,AV-CABIN,,Title,Default Title,,,,,,,,22.00,32.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-rechargeable-car-diffuser/autivora-rechargeable-car-diffuser-1.jpg,1,Autivara Cabin — Rechargeable Car Diffuser,,FALSE,Autivara Cabin | Car Diffuser | Autivara,A rechargeable cabin diffuser with adjustable output — set it and let the scent ride with you.,,,,,,,,,,,,,,
,autivora-rechargeable-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rechargeable-car-diffuser/autivora-rechargeable-car-diffuser-2.jpg,2,Autivara Cabin — Rechargeable Car Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-rechargeable-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rechargeable-car-diffuser/autivora-rechargeable-car-diffuser-3.jpg,3,Autivara Cabin — Rechargeable Car Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-rechargeable-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rechargeable-car-diffuser/autivora-rechargeable-car-diffuser-4.jpg,4,Autivara Cabin — Rechargeable Car Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Pulse — Smart Spray Car Diffuser,autivora-smart-spray-diffuser,"<p>An automatic micro-spray that pulses fragrance on a timer, with an ambient RGB glow for night drives.</p><ul><li>Timed automatic micro-spray</li><li>Three intensity modes</li><li>Ambient RGB light ring</li><li>USB-C rechargeable</li></ul>",Autivara,,Car Diffuser,"car, smart, rechargeable, spray, car-diffusers",TRUE,Active,AV-PULSE,,Title,Default Title,,,,,,,,28.00,39.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-smart-spray-diffuser/autivora-smart-spray-diffuser-1.jpg,1,Autivara Pulse — Smart Spray Car Diffuser,,FALSE,Autivara Pulse | Car Diffuser | Autivara,"An automatic micro-spray that pulses fragrance on a timer, with an ambient RGB glow for night drives.",,,,,,,,,,,,,,
,autivora-smart-spray-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-spray-diffuser/autivora-smart-spray-diffuser-2.jpg,2,Autivara Pulse — Smart Spray Car Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-smart-spray-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-spray-diffuser/autivora-smart-spray-diffuser-3.jpg,3,Autivara Pulse — Smart Spray Car Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-smart-spray-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-spray-diffuser/autivora-smart-spray-diffuser-4.jpg,4,Autivara Pulse — Smart Spray Car Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Ember — Volcano Flame Diffuser,autivora-volcano-flame-diffuser,<p>A glowing volcano that breathes a cold mist plume — equal parts diffuser and tabletop ambience.</p><ul><li>Realistic flame-glow LED</li><li>Ultrasonic cold mist — no heat</li><li>Auto shut-off when dry</li><li>USB powered</li></ul>,Autivara,,Home Diffuser,"home, flame-effect, ultrasonic, ambient, home-diffusers",FALSE,Draft,AV-EMBER,,Title,Default Title,,,,,,,,26.00,36.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-volcano-flame-diffuser/autivora-volcano-flame-diffuser-1.jpg,1,Autivara Ember — Volcano Flame Diffuser,,FALSE,Autivara Ember | Home Diffuser | Autivara,A glowing volcano that breathes a cold mist plume — equal parts diffuser and tabletop ambience.,,,,,,,,,,,,,,
,autivora-volcano-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-volcano-flame-diffuser/autivora-volcano-flame-diffuser-2.jpg,2,Autivara Ember — Volcano Flame Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-volcano-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-volcano-flame-diffuser/autivora-volcano-flame-diffuser-3.jpg,3,Autivara Ember — Volcano Flame Diffuser — view 3,,,,,,,,,,,,,,,,,,
Autivara Nimbus — Jellyfish Mist Diffuser,autivora-jellyfish-mist-diffuser,<p>Drifting jellyfish rise through a backlit mist — a calming light show with a remote to set the mood.</p><ul><li>Dynamic jellyfish + flame effect</li><li>Remote control</li><li>Ultrasonic cold mist</li><li>Auto shut-off when dry</li></ul>,Autivara,,Home Diffuser,"home, flame-effect, ultrasonic, remote, home-diffusers",TRUE,Active,AV-NIMBUS,,Title,Default Title,,,,,,,,32.00,45.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-jellyfish-mist-diffuser/autivora-jellyfish-mist-diffuser-1.jpg,1,Autivara Nimbus — Jellyfish Mist Diffuser,,FALSE,Autivara Nimbus | Home Diffuser | Autivara,Drifting jellyfish rise through a backlit mist — a calming light show with a remote to set the mood.,,,,,,,,,,,,,,
,autivora-jellyfish-mist-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-jellyfish-mist-diffuser/autivora-jellyfish-mist-diffuser-2.jpg,2,Autivara Nimbus — Jellyfish Mist Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-jellyfish-mist-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-jellyfish-mist-diffuser/autivora-jellyfish-mist-diffuser-3.jpg,3,Autivara Nimbus — Jellyfish Mist Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-jellyfish-mist-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-jellyfish-mist-diffuser/autivora-jellyfish-mist-diffuser-4.jpg,4,Autivara Nimbus — Jellyfish Mist Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Hearth — Fireplace Flame Diffuser,autivora-fireplace-flame-diffuser,<p>A miniature hearth with a startlingly real flame and a soft scented mist — warmth without the heat.</p><ul><li>Realistic fireplace flame effect</li><li>Ultrasonic cold mist</li><li>Multiple timer modes</li><li>Auto shut-off when dry</li></ul>,Autivara,,Home Diffuser,"home, flame-effect, ultrasonic, ambient, home-diffusers",TRUE,Active,AV-HEARTH,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-fireplace-flame-diffuser/autivora-fireplace-flame-diffuser-1.jpg,1,Autivara Hearth — Fireplace Flame Diffuser,,FALSE,Autivara Hearth | Home Diffuser | Autivara,A miniature hearth with a startlingly real flame and a soft scented mist — warmth without the heat.,,,,,,,,,,,,,,
,autivora-fireplace-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-fireplace-flame-diffuser/autivora-fireplace-flame-diffuser-2.jpg,2,Autivara Hearth — Fireplace Flame Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-fireplace-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-fireplace-flame-diffuser/autivora-fireplace-flame-diffuser-3.jpg,3,Autivara Hearth — Fireplace Flame Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-fireplace-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-fireplace-flame-diffuser/autivora-fireplace-flame-diffuser-4.jpg,4,Autivara Hearth — Fireplace Flame Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Apollo — Rocket Flame Diffuser,autivora-rocket-flame-diffuser,<p>A desk rocket on a glowing plume of mist — a small piece of liftoff for the workspace.</p><ul><li>Flame-glow LED base</li><li>Ultrasonic cold mist</li><li>Compact desk footprint</li><li>USB powered</li></ul>,Autivara,,Home Diffuser,"home, flame-effect, ultrasonic, desk, home-diffusers",TRUE,Active,AV-APOLLO,,Title,Default Title,,,,,,,,20.00,29.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-rocket-flame-diffuser/autivora-rocket-flame-diffuser-1.jpg,1,Autivara Apollo — Rocket Flame Diffuser,,FALSE,Autivara Apollo | Home Diffuser | Autivara,A desk rocket on a glowing plume of mist — a small piece of liftoff for the workspace.,,,,,,,,,,,,,,
,autivora-rocket-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rocket-flame-diffuser/autivora-rocket-flame-diffuser-2.jpg,2,Autivara Apollo — Rocket Flame Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-rocket-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rocket-flame-diffuser/autivora-rocket-flame-diffuser-3.jpg,3,Autivara Apollo — Rocket Flame Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-rocket-flame-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-rocket-flame-diffuser/autivora-rocket-flame-diffuser-4.jpg,4,Autivara Apollo — Rocket Flame Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Nova — Disco-Ball Light Diffuser,autivora-disco-ball-diffuser,<p>A mirrored sphere that scatters a full laser light-show while it diffuses — the room's centerpiece.</p><ul><li>Mirror-ball laser light show</li><li>Ultrasonic cold mist</li><li>Multiple light modes</li><li>USB powered</li></ul>,Autivara,,Home Diffuser,"home, light-show, ultrasonic, party, home-diffusers",TRUE,Active,AV-NOVA,,Title,Default Title,,,,,,,,40.00,56.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-disco-ball-diffuser/autivora-disco-ball-diffuser-1.jpg,1,Autivara Nova — Disco-Ball Light Diffuser,,FALSE,Autivara Nova | Home Diffuser | Autivara,A mirrored sphere that scatters a full laser light-show while it diffuses — the room's centerpiece.,,,,,,,,,,,,,,
,autivora-disco-ball-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-disco-ball-diffuser/autivora-disco-ball-diffuser-2.jpg,2,Autivara Nova — Disco-Ball Light Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-disco-ball-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-disco-ball-diffuser/autivora-disco-ball-diffuser-3.jpg,3,Autivara Nova — Disco-Ball Light Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-disco-ball-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-disco-ball-diffuser/autivora-disco-ball-diffuser-4.jpg,4,Autivara Nova — Disco-Ball Light Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Grove — Wood-Grain Diffuser,autivora-wood-grain-diffuser,<p>A warm wood-grain column that disappears into any room and quietly keeps the air fresh.</p><ul><li>Wood-grain finish</li><li>Ultrasonic cold mist</li><li>Soft ambient light</li><li>Auto shut-off when dry</li></ul>,Autivara,,Home Diffuser,"home, ultrasonic, minimal, ambient, home-diffusers",TRUE,Active,AV-GROVE,,Title,Default Title,,,,,,,,18.00,26.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-wood-grain-diffuser/autivora-wood-grain-diffuser-1.jpg,1,Autivara Grove — Wood-Grain Diffuser,,FALSE,Autivara Grove | Home Diffuser | Autivara,A warm wood-grain column that disappears into any room and quietly keeps the air fresh.,,,,,,,,,,,,,,
,autivora-wood-grain-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-wood-grain-diffuser/autivora-wood-grain-diffuser-2.jpg,2,Autivara Grove — Wood-Grain Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-wood-grain-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-wood-grain-diffuser/autivora-wood-grain-diffuser-3.jpg,3,Autivara Grove — Wood-Grain Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-wood-grain-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-wood-grain-diffuser/autivora-wood-grain-diffuser-4.jpg,4,Autivara Grove — Wood-Grain Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Express — Steam-Train Diffuser,autivora-steam-train-diffuser,<p>A locomotive that puffs scented smoke-rings from its stack — a collectible that actually works.</p><ul><li>Smoke-ring mist from the stack</li><li>Ultrasonic cold mist</li><li>Collectible detailing</li><li>USB powered</li></ul>,Autivara,,Home Diffuser,"home, novelty, ultrasonic, collectible, home-diffusers",TRUE,Active,AV-EXPR,,Title,Default Title,,,,,,,,26.00,36.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-steam-train-diffuser/autivora-steam-train-diffuser-1.jpg,1,Autivara Express — Steam-Train Diffuser,,FALSE,Autivara Express | Home Diffuser | Autivara,A locomotive that puffs scented smoke-rings from its stack — a collectible that actually works.,,,,,,,,,,,,,,
,autivora-steam-train-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-steam-train-diffuser/autivora-steam-train-diffuser-2.jpg,2,Autivara Express — Steam-Train Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-steam-train-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-steam-train-diffuser/autivora-steam-train-diffuser-3.jpg,3,Autivara Express — Steam-Train Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-steam-train-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-steam-train-diffuser/autivora-steam-train-diffuser-4.jpg,4,Autivara Express — Steam-Train Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Reservoir — 4L Humidifying Diffuser,autivora-4l-humidifying-diffuser,"<p>A 4-litre reservoir for whole-room humidifying and scenting that runs for hours between fills.</p><ul><li>4L large-capacity tank</li><li>Adjustable mist output</li><li>Top-fill, easy to refill</li><li>Timer + sleep modes</li></ul>",Autivara,,Home Diffuser,"home, humidifier, large-capacity, ultrasonic, home-diffusers",TRUE,Active,AV-RSVR,,Title,Default Title,,,,,,,,38.00,52.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-4l-humidifying-diffuser/autivora-4l-humidifying-diffuser-1.jpg,1,Autivara Reservoir — 4L Humidifying Diffuser,,FALSE,Autivara Reservoir | Home Diffuser | Autivara,A 4-litre reservoir for whole-room humidifying and scenting that runs for hours between fills.,,,,,,,,,,,,,,
,autivora-4l-humidifying-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-4l-humidifying-diffuser/autivora-4l-humidifying-diffuser-2.jpg,2,Autivara Reservoir — 4L Humidifying Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-4l-humidifying-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-4l-humidifying-diffuser/autivora-4l-humidifying-diffuser-3.jpg,3,Autivara Reservoir — 4L Humidifying Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-4l-humidifying-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-4l-humidifying-diffuser/autivora-4l-humidifying-diffuser-4.jpg,4,Autivara Reservoir — 4L Humidifying Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Atmos Wi-Fi — Commercial Scent Diffuser,autivora-atmos-wifi-diffuser,"<p>A wall-mounted, app-scheduled nebulizer that scents up to a mid-size commercial space — pure oil, no water.</p><ul><li>Wi-Fi app scheduling</li><li>Waterless cold-air nebulizing</li><li>Covers mid-size commercial areas</li><li>Magnetic refill bay</li></ul>",Autivara,,Commercial Diffuser,"industrial, commercial, wifi, waterless, b2b, industrial-scenting",TRUE,Active,AV-ATMOS-X2,,Title,Default Title,,,,,,,,75.00,99.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-atmos-wifi-diffuser/autivora-atmos-wifi-diffuser-1.jpg,1,Autivara Atmos Wi-Fi — Commercial Scent Diffuser,,FALSE,Autivara Atmos Wi-Fi | Commercial Diffuser | Autivara,"A wall-mounted, app-scheduled nebulizer that scents up to a mid-size commercial space — pure oil, no water.",,,,,,,,,,,,,,
,autivora-atmos-wifi-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-wifi-diffuser/autivora-atmos-wifi-diffuser-2.jpg,2,Autivara Atmos Wi-Fi — Commercial Scent Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-atmos-wifi-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-wifi-diffuser/autivora-atmos-wifi-diffuser-3.jpg,3,Autivara Atmos Wi-Fi — Commercial Scent Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-atmos-wifi-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-wifi-diffuser/autivora-atmos-wifi-diffuser-4.jpg,4,Autivara Atmos Wi-Fi — Commercial Scent Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Atmos Pro — HVAC Scent Machine,autivora-atmos-pro-hvac,"<p>The commercial workhorse: an HVAC-integrated scent machine for large venues, run by app with precise scheduling.</p><ul><li>HVAC-integrated cold-air scenting</li><li>App scheduling + intensity control</li><li>Covers large commercial spaces</li><li>Waterless nebulizing — pure oil</li></ul>",Autivara,,Commercial Diffuser,"industrial, commercial, hvac, waterless, b2b, industrial-scenting",TRUE,Active,AV-ATMOS-S600,,Title,Default Title,,,,,,,,150.00,199.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-atmos-pro-hvac/autivora-atmos-pro-hvac-1.jpg,1,Autivara Atmos Pro — HVAC Scent Machine,,FALSE,Autivara Atmos Pro | Commercial Diffuser | Autivara,"The commercial workhorse: an HVAC-integrated scent machine for large venues, run by app with precise scheduling.",,,,,,,,,,,,,,
,autivora-atmos-pro-hvac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-pro-hvac/autivora-atmos-pro-hvac-2.jpg,2,Autivara Atmos Pro — HVAC Scent Machine — view 2,,,,,,,,,,,,,,,,,,
,autivora-atmos-pro-hvac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-pro-hvac/autivora-atmos-pro-hvac-3.jpg,3,Autivara Atmos Pro — HVAC Scent Machine — view 3,,,,,,,,,,,,,,,,,,
,autivora-atmos-pro-hvac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-pro-hvac/autivora-atmos-pro-hvac-4.jpg,4,Autivara Atmos Pro — HVAC Scent Machine — view 4,,,,,,,,,,,,,,,,,,
